section,comm_a,comm_b,raw,bits,within_section_z,n_pairs_in_section,legacy_within_section_z,legacy_n_pairs_in_section,v9_status,v9_correction
2,KeterShemTov,KeterShemTovMS_L,0.6308,6.334,14.303,15,14.303,15,direct_pair_valid,
8,KeterShemTov,KeterShemTovMS_L,1.0000,6.334,8.780,36,8.780,36,direct_pair_valid,
15,KeterShemTov,KeterShemTovMS_L,0.5805,6.334,8.236,36,8.236,36,direct_pair_valid,
15,MeiratEinayim,SaportaOxford1645,0.5664,6.334,7.921,36,7.921,36,direct_pair_valid,
19_2,UnKnownEskorial,UnKnownVatikan214,0.8182,6.334,7.696,55,7.696,55,direct_pair_valid,
27,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.7987,6.334,7.496,55,7.496,55,direct_pair_valid,
20,UnKnownEskorial,UnKnownVatikan214,0.7660,6.334,7.084,66,7.084,66,direct_pair_valid,
22,DaatChacham_Vat214_Marginalia,UnKnownEskorial,0.6719,6.334,,28,6.984,36,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
14,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.6771,6.334,,55,6.364,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
14,KeterShemTov,KeterShemTovMS_L,0.6678,6.334,,55,6.247,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
25_2,DaatChacham_Vat214_Marginalia,UnKnownEskorial,0.6437,6.334,,21,6.243,28,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
26,UnKnownEskorial,UnKnownVatikan214,0.7013,6.334,6.094,66,6.094,66,direct_pair_valid,
6,KeterShemTov,KeterShemTovMS_L,0.5906,6.334,5.980,78,5.980,78,direct_pair_valid,
29,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.6562,6.334,5.871,28,5.871,28,direct_pair_valid,
6,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5727,6.334,5.755,78,5.755,78,direct_pair_valid,
10,KeterShemTov,KeterShemTovMS_L,0.5963,6.334,5.656,55,5.656,55,direct_pair_valid,
25,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.6000,6.334,5.561,28,5.561,28,direct_pair_valid,
30,DaatChacham_Vat214_Marginalia,UnKnownEskorial,0.7305,6.334,,36,5.551,45,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
24,Comment_b_note_of_unknown,UnKnownVatikan214,0.5149,6.334,5.485,66,5.485,66,direct_pair_valid,
12,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.8013,6.334,,66,5.483,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
10,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5733,6.334,5.324,55,5.324,55,direct_pair_valid,
24,UnKnownEskorial,UnKnownVatikan214,0.4979,6.334,5.210,66,5.210,66,direct_pair_valid,
17,KeterShemTov,KeterShemTovMS_L,0.6030,6.334,5.186,55,5.186,55,direct_pair_valid,
24,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.4933,6.334,5.136,66,5.136,66,direct_pair_valid,
32,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.6376,6.334,5.067,21,5.067,21,direct_pair_valid,
27,UnKnownEskorial,UnKnownVatikan214,0.5965,6.334,5.061,55,5.061,55,direct_pair_valid,
16,KeterShemTov,KeterShemTovMS_L,0.6477,6.334,5.018,28,5.018,28,direct_pair_valid,
4,KeterShemTov,KeterShemTovMS_L,0.6397,6.334,4.959,66,4.959,66,direct_pair_valid,
19_2,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5789,6.334,4.621,55,4.621,55,direct_pair_valid,
5,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5393,6.334,,66,4.592,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
21,DaatChacham_Vat214_Marginalia,UnKnownEskorial,0.6942,6.334,,28,4.543,36,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
26_1,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.8750,6.334,4.484,28,4.484,28,direct_pair_valid,
20,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5466,6.334,4.467,66,4.467,66,direct_pair_valid,
7_2,KeterShemTov,KeterShemTovMS_L,0.5966,6.334,4.249,15,4.249,15,direct_pair_valid,
21,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.6689,6.334,,28,4.241,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
6,IbnShuib,Likutim_bhml_1978,0.4396,6.334,4.080,78,4.080,78,direct_pair_valid,
19_1,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5883,6.334,4.039,28,4.039,28,direct_pair_valid,
4,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5524,6.334,3.966,66,3.966,66,direct_pair_valid,
9,KeterShemTov,KeterShemTovMS_L,0.7738,6.334,3.946,15,3.946,15,direct_pair_valid,
7_1,KeterShemTov,KeterShemTovMS_L,0.7750,6.334,3.913,45,3.913,45,direct_pair_valid,
11,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.6268,6.334,3.786,45,3.786,45,direct_pair_valid,
14,MeiratEinayim,SaportaOxford1645,0.4713,6.334,,55,3.767,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
5,DaatChacham_Vat107_Main,KenegedAsaraMaamaritLondon847,0.4701,6.334,,66,3.662,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
11,KeterShemTov,KeterShemTovMS_L,0.5900,6.334,3.424,45,3.424,45,direct_pair_valid,
8,IbnShuib,Likutim_bhml_1978,0.4982,6.334,3.408,36,3.408,36,direct_pair_valid,
12,KeterShemTov,KeterShemTovMS_L,0.5601,6.334,,66,3.394,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
8,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.4868,6.334,3.286,36,3.286,36,direct_pair_valid,
14,DaatChacham_Vat214_Main,KenegedAsaraMaamaritLondon847,0.4283,6.334,,55,3.225,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
29,UnKnownEskorial,UnKnownVatikan214,0.4667,6.334,3.219,28,3.219,28,direct_pair_valid,
25,IbnShuib,SaportaOxford1645,0.3905,6.334,3.067,28,3.067,28,direct_pair_valid,
23,DaatChacham_Vat214_Marginalia,UnKnownEskorial,0.7179,6.334,,28,2.971,36,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
14,DaatChacham_Vat107_Main,KenegedAsaraMaamaritLondon847,0.4072,6.334,,55,2.959,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
7_2,DaatChacham_Vat214_Main,KenegedAsaraMaamaritLondon847,0.5015,6.334,2.942,15,2.942,15,direct_pair_valid,
26_1,UnKnownEskorial,UnKnownVatikan214,0.6565,6.334,2.941,28,2.941,28,direct_pair_valid,
5,KeterShemTov,KeterShemTovMS_L,0.4129,6.334,,66,2.892,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
26,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.4634,6.334,2.862,66,2.862,66,direct_pair_valid,
