comm_a,comm_b,co_cluster_rate,shared_sections
KeterShemTov,KeterShemTovMS_L,1.0000,17
UnKnownEskorial,UnKnownVatikan214,1.0000,7
DaatChachamVatokan107,DaatChachamVatokan114,0.9600,25
Likutim_bhml_1978,UnKnownEskorial,0.8000,5
IbnShuib,Likutim_bhml_1978,0.7143,7
IbnShuib,RAMBAN,0.6857,35
MeiratEinayim,SaportaOxford1645,0.6667,9
DaatChachamVatokan214,RAMBAN,0.6250,8
DaatChachamVatokan214,UnKnownEskorial,0.6250,8
IbnShuib,SaportaOxford1645,0.6000,10
Comment_a_shuib_Parma_68,KenegedAsaraMaamaritLondon847,0.6000,10
Likutim_bhml_1978,MeiratEinayim,0.5714,7
Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.5556,27
RAMBAN,UnKnownEskorial,0.5357,28
IbnShuib,MeiratEinayim,0.5143,35
IbnShuib,UnKnownEskorial,0.5000,28
MeiratEinayim,Rabenu_Bahayii,0.4839,31
MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.4643,28
Comment_a_shuib_Parma_68,UnKnownEskorial,0.4545,11
KeterShemTov,Ricanati_Zicaron_aharon_ed,0.4483,29
RAMBAN,Ricanati_Zicaron_aharon_ed,0.4483,29
MeiratEinayim,UnKnownEskorial,0.4444,27
SaportaOxford1645,UnKnownEskorial,0.4444,9
MeiratEinayim,RAMBAN,0.4412,34
RAMBAN,Rabenu_Bahayii,0.4375,32
Likutim_bhml_1978,RAMBAN,0.4286,7
Likutim_bhml_1978,Rabenu_Bahayii,0.4286,7
KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.4286,21
IbnShuib,UnKnownVatikan214,0.4286,7
KenegedAsaraMaamaritLondon847,RAMBAN,0.4231,26
IbnShuib,Ricanati_Zicaron_aharon_ed,0.4138,29
IbnShuib,Rabenu_Bahayii,0.4062,32
RAMBAN,SaportaOxford1645,0.4000,10
DaatChachamVatokan107,SaportaOxford1645,0.3750,8
DaatChachamVatokan114,SaportaOxford1645,0.3750,8
DaatChachamVatokan214,IbnShuib,0.3750,8
Ricanati_Zicaron_aharon_ed,SaportaOxford1645,0.3750,8
Comment_a_shuib_Parma_68,RAMBAN,0.3571,14
DaatChachamVatokan114,KenegedAsaraMaamaritLondon847,0.3500,20
Rabenu_Bahayii,UnKnownEskorial,0.3462,26
IbnShuib,KeterShemTov,0.3429,35
Rabenu_Bahayii,SaportaOxford1645,0.3333,9
Comment_a_shuib_Parma_68,Ricanati_Zicaron_aharon_ed,0.3333,12
IbnShuib,KenegedAsaraMaamaritLondon847,0.3333,27
KeterShemTovMS_L,Ricanati_Zicaron_aharon_ed,0.3333,12
Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.3333,27
KenegedAsaraMaamaritLondon847,SaportaOxford1645,0.3333,9
DaatChachamVatokan107,UnKnownVatikan214,0.3333,6
DaatChachamVatokan114,UnKnownVatikan214,0.3333,6
Rabenu_Bahayii,UnKnownVatikan214,0.3333,6
KeterShemTov,MeiratEinayim,0.3235,34
KeterShemTov,UnKnownEskorial,0.3214,28
DaatChachamVatokan107,KenegedAsaraMaamaritLondon847,0.3158,19
Comment_a_shuib_Parma_68,KeterShemTov,0.3077,13
KeterShemTov,RAMBAN,0.2941,34
KeterShemTov,Rabenu_Bahayii,0.2903,31
Comment_a_shuib_Parma_68,IbnShuib,0.2857,14
Comment_a_shuib_Parma_68,MeiratEinayim,0.2857,14
DaatChachamVatokan214,KenegedAsaraMaamaritLondon847,0.2857,7
KeterShemTov,UnKnownVatikan214,0.2857,7
MeiratEinayim,UnKnownVatikan214,0.2857,7
RAMBAN,UnKnownVatikan214,0.2857,7
Ricanati_Zicaron_aharon_ed,UnKnownVatikan214,0.2857,7
KenegedAsaraMaamaritLondon847,MeiratEinayim,0.2692,26
KenegedAsaraMaamaritLondon847,Rabenu_Bahayii,0.2500,24
DaatChachamVatokan214,KeterShemTov,0.2500,8
DaatChachamVatokan214,MeiratEinayim,0.2500,8
DaatChachamVatokan214,Ricanati_Zicaron_aharon_ed,0.2500,8
DaatChachamVatokan107,MeiratEinayim,0.2400,25
DaatChachamVatokan114,MeiratEinayim,0.2400,25
IbnShuib,KeterShemTovMS_L,0.2353,17
Comment_a_shuib_Parma_68,Rabenu_Bahayii,0.2308,13
KenegedAsaraMaamaritLondon847,Ricanati_Zicaron_aharon_ed,0.2273,22
KenegedAsaraMaamaritLondon847,KeterShemTov,0.2222,27
KeterShemTov,SaportaOxford1645,0.2000,10
Comment_a_shuib_Parma_68,KeterShemTovMS_L,0.2000,5
KenegedAsaraMaamaritLondon847,Likutim_bhml_1978,0.2000,5
DaatChachamVatokan107,KeterShemTov,0.1923,26
DaatChachamVatokan114,KeterShemTov,0.1923,26
KeterShemTovMS_L,MeiratEinayim,0.1875,16
KeterShemTovMS_L,RAMBAN,0.1875,16
DaatChachamVatokan114,Rabenu_Bahayii,0.1818,22
DaatChachamVatokan114,UnKnownEskorial,0.1818,22
DaatChachamVatokan107,Rabenu_Bahayii,0.1739,23
DaatChachamVatokan107,UnKnownEskorial,0.1739,23
DaatChachamVatokan107,Likutim_bhml_1978,0.1667,6
DaatChachamVatokan114,Likutim_bhml_1978,0.1667,6
KeterShemTov,Likutim_bhml_1978,0.1667,6
KeterShemTovMS_L,Likutim_bhml_1978,0.1667,6
KeterShemTovMS_L,UnKnownEskorial,0.1667,12
KeterShemTovMS_L,SaportaOxford1645,0.1429,7
KeterShemTovMS_L,Rabenu_Bahayii,0.1250,16
KenegedAsaraMaamaritLondon847,KeterShemTovMS_L,0.1250,16
DaatChachamVatokan214,Rabenu_Bahayii,0.1250,8
DaatChachamVatokan107,IbnShuib,0.1154,26
DaatChachamVatokan114,IbnShuib,0.1154,26
Comment_a_shuib_Parma_68,DaatChachamVatokan114,0.1000,10
Comment_a_shuib_Parma_68,DaatChachamVatokan107,0.0909,11
DaatChachamVatokan114,Ricanati_Zicaron_aharon_ed,0.0909,22
DaatChachamVatokan107,Ricanati_Zicaron_aharon_ed,0.0870,23
DaatChachamVatokan107,KeterShemTovMS_L,0.0833,12
DaatChachamVatokan114,RAMBAN,0.0800,25
DaatChachamVatokan107,RAMBAN,0.0769,26
DaatChachamVatokan114,KeterShemTovMS_L,0.0769,13
DaatChachamVatokan107,DaatChachamVatokan214,0.0000,5
