section,a,b,locus_overlap,reading_agreement,n_shared_concepts,n_comparable_claims
1,DaatChachamVatokan107,DaatChachamVatokan114,0.4286,0.2667,15,15
1,DaatChachamVatokan107,IbnShuib,0.0879,0.25,8,4
1,DaatChachamVatokan107,KeterShemTov,0.0227,,1,0
1,DaatChachamVatokan107,KeterShemTovMS_L,0.0851,,4,0
1,DaatChachamVatokan107,Likutim_bhml_1978,0.1795,0.0,7,4
1,DaatChachamVatokan107,MeiratEinayim,0.1067,0.0,8,5
1,DaatChachamVatokan107,RAMBAN,0.0435,,2,0
1,DaatChachamVatokan107,Rabenu_Bahayii,0.0328,,2,0
1,DaatChachamVatokan107,SaportaOxford1645,0.2195,0.0,9,7
1,DaatChachamVatokan107,UnKnownEskorial,0.0652,0.0,3,1
1,DaatChachamVatokan114,IbnShuib,0.1031,0.0,10,6
1,DaatChachamVatokan114,KeterShemTov,0.0392,,2,0
1,DaatChachamVatokan114,KeterShemTovMS_L,0.0926,,5,0
1,DaatChachamVatokan114,Likutim_bhml_1978,0.1489,0.0,7,5
1,DaatChachamVatokan114,MeiratEinayim,0.1519,0.0,12,14
1,DaatChachamVatokan114,RAMBAN,0.037,0.0,2,1
1,DaatChachamVatokan114,Rabenu_Bahayii,0.0923,0.0,6,2
1,DaatChachamVatokan114,SaportaOxford1645,0.234,0.0,11,12
1,DaatChachamVatokan114,UnKnownEskorial,0.0962,0.0,5,2
1,IbnShuib,KeterShemTov,0.1087,0.0,10,5
1,IbnShuib,KeterShemTovMS_L,0.08,0.0,8,1
1,IbnShuib,Likutim_bhml_1978,0.1075,0.0,10,7
1,IbnShuib,MeiratEinayim,0.1765,0.0,21,21
1,IbnShuib,RAMBAN,0.05,,5,0
1,IbnShuib,Rabenu_Bahayii,0.0256,0.0,3,1
1,IbnShuib,SaportaOxford1645,0.1383,0.0,13,7
1,IbnShuib,UnKnownEskorial,0.0495,,5,0
1,KeterShemTov,KeterShemTovMS_L,0.2857,0.25,12,4
1,KeterShemTov,Likutim_bhml_1978,0.0208,,1,0
1,KeterShemTov,MeiratEinayim,0.1316,0.0,10,6
1,KeterShemTov,RAMBAN,0.02,,1,0
1,KeterShemTov,Rabenu_Bahayii,0.0154,,1,0
1,KeterShemTov,SaportaOxford1645,0.06,,3,0
