section,passage_suggested,cited_by,also,lemma,chars,commentators,note
1,"בראשית ב,ז",5,"בראשית א,ב (2) · בראשית א,א (2)","וי""י הולך לפניהם יומם",1471,11,⚠ שגיאת נתונים ידועה: גרף הרמב״ן של סעיף זה הוא גרף נכון של הקטע השגוי (תוכן של §13). נשמר במכוון כבקרה.
2,"בראשית ד,כה",5,"בראשית ד,ב (4) · דברים ג,כו (3)","וקראה האחד בשם קין והשני הבל, כי קנין האדם להבל דמה, ולא רצתה לפרש זה,",130,7,
3,"בראשית ו,ד",2,"דברים כב,ז (1) · בראשית ה,א (1)",אבל המדרש אשר לרבי אליעזר הגדול בפרקיו על המלאכים שנפלו ממקום קדושתן מ,174,6,
4,"בראשית ו,ו",9,"בראשית ו,ז (5) · שמות לב,יד (2)","וינחם י""י ויתעצב אל לבו",390,13,
5,"בראשית ט,יג",13,"בראשית ט,יד (8) · בראשית יז,יא (5)",אבל יש לרבותינו בפרשה הזאת סוד נעלם. אמרו בבראשית רבה: את קשתי נתתי בע,1612,14,
6,"בראשית יא,ד",7,"בראשית יא,ב (4) · בראשית יא,ה (4)","אבל היודע פירוש 'שם' יבין כונתם, ממה שאמרו: ונעשה לנו שם, וידע כמה השי",826,14,
7_1,"בראשית יז,כב",8,"בראשית לה,יג (2)",ויעל אלהים מעל אברהם,228,11,
7_2,"בראשית לה,יג",4,,ויעל מעליו אלהים במקום [אשר דבר אתו]... ועל דרך האמת: עלה מעליו אלהים ,165,7,⚠ גרף ריק או כמעט ריק — הוצא מכל דירוג.
8,"בראשית כב,א",2,"במדבר כא,ט (2) · בראשית כב,טז (2)",וַיֹּאמֶר: 'אַל תִּשְׁלַח יָדְךָ אֶל הַנַּעַר וְאַל תַּעַשׂ לוֹ מְאוּמ,281,11,
9,"בראשית לג,כ",3,"במדבר כג,ח (1)","ועל דרך האמת: הוא כמדרש רבותינו שדרשו במסכת מגלה: מנין שקראו הקב""ה ליע",412,8,⚠ גרף ריק או כמעט ריק — הוצא מכל דירוג.
10,"בראשית לח,כח",9,"בראשית לח,כט (4) · בראשית לח,ל (3)","ובמדרשו של רבי נחוניא בן הקנה יזכיר סוד בשם אלה הילודים, אמרו: איקרי ז",674,12,
11,"דברים לג,יב",9,"בראשית מט,לג (8) · דברים כט,יב (2)",ויגוע ויאסף,738,11,
12,"שמות ב,כה",10,"בראשית ד,א (5) · שמות ב,כד (4)",וירא אלהים את בני ישראל,946,14,
13,"שמות יג,כא",7,"במדבר יד,יד (6) · דברים ה,ד (1)","וי""י הולך לפניהם יומם",1471,11,
14,"שמות יז,יא",6,"שמות יז,יב (2) · במדבר יג,ל (1)",וטעם ויהי ידיו אמונה,301,13,
15,"שמות יז,טז",8,"דברים כה,יט (2) · שמות יז,יג (2)",כי יד על כס יה,575,10,
16,"דברים ה,ד",7,"שמות יט,כ (5) · שמות כ,א (5)","וירד י""י על הר סיני",2171,9,
17,"שמות כ,ח",4,"דברים ה,יב (3) · בראשית ב,ג (2)",שמור את יום השבת לקדשו,6551,12,
