identifier,name_he,author,period,manuscript,sections,concepts,edges,unit_role,source_column,v9_correction
IbnShuib,אבן שועיב,,,,37,2450,3525,commentary_witness,,
KeterShemTov,כתר שם טוב,,,,37,1818,2266,commentary_witness,,
RAMBAN,רמב״ן (טקסט הבסיס),,,,37,1754,2436,base_text,,
MeiratEinayim,מאירת עיניים,,,,35,3711,5398,commentary_witness,,
Rabenu_Bahayii,רבנו בחיי,,,,32,1842,2489,commentary_witness,,
Ricanati_Zicaron_aharon_ed,ריקנאטי (מהד' זיכרון אהרן),,,,29,1889,2639,commentary_witness,,
UnKnownEskorial,פירוש לא נודע — אסקוריאל,,,,29,1075,1390,commentary_witness,,
KenegedAsaraMaamaritLondon847,כנגד עשרה מאמרות — לונדון 847,,,,27,780,1041,commentary_witness,,
DaatChacham_Vat107_Main,דעת החכם — ותיקן 107,,,Vatican 107,26,672,768,commentary_witness,J,⟦תיקון V9: זיהוי 107 אומת מול Sources-Ramban⟧
DaatChacham_Vat214_Main,דעת החכם — ותיקן 214,,,Vatican 214,26,703,845,commentary_witness,K,⟦תיקון V9: יחידה זו סומנה בעבר בטעות כוותיקן 114⟧
KeterShemTovMS_L,כתר שם טוב — כתב־יד L,,,,17,759,906,commentary_witness,,
Comment_a_shuib_Parma_68,פירוש א' — פרמא 68,,,,14,352,349,commentary_witness,,
SaportaOxford1645,ספורטא — אוקספורד 1645,,,,10,289,342,commentary_witness,,
DaatChacham_Vat214_Marginalia,הערות בשולי דעת החכם — ותיקן 214,,,Vatican 214,8,308,456,marginalia,L,⟦תיקון V9: יחידה זו סומנה בעבר כ״דעת החכם — ותיקן 214״; למעשה אלה הערות השוליים⟧
Likutim_bhml_1978,ליקוטים (בהמ״ל 1978),,,,7,175,187,commentary_witness,,
UnKnownVatikan214,פירוש לא נודע — ותיקן 214,,,,7,390,482,commentary_witness,,
מערכת האלוהות,מערכת האלוהות,,,,1,20,23,commentary_witness,,
Comment_b_note_of_unknown,פירוש ב' — הערה מאת לא נודע,,,,1,3,5,commentary_witness,,
Comment_a_shuib_Parma_2704,פירוש א' — פרמא 2704,,,,1,24,22,commentary_witness,,
KenegedAsaraMaamaritParis868,כנגד עשרה מאמרות — פריז 868,,,,1,51,76,commentary_witness,,
KenegedAsaraMaamaritMinchen40,כנגד עשרה מאמרות — מינכן 40,,,,1,24,30,commentary_witness,,
