section,n_graphs_with,n_graphs_in_section,global_key,labels,legacy_n_graphs_with,legacy_n_graphs_in_section,v9_status,v9_correction
1,8,11,G:32,בינה | הבינה | יסוד הבינה | תבונה,,,valid,
1,7,11,G:11,השם הגדול | רוח השם הגדול | שם הגדול,,,valid,
1,7,11,G:14,התפארת | תפארת | תפארתו,,,valid,
1,6,11,G:7,הנפש | הנפשות | נפש | נפש השכל,,,valid,
1,6,11,G:8,הנשמה | הנשמות | נשמות | נשמתו,,,valid,
1,6,11,G:75,השם | השם הגדול | של השם,,,valid,
1,5,11,G:12,שם מלא,,,valid,
1,5,11,G:17,היסוד | יסוד | יסודה וסודה,,,valid,
1,5,11,G:16,הספירות | י' ספירות | ספירות | עשר ספירות,,,valid,
1,5,11,G:6,הכתוב | כתוב,,,valid,
1,5,11,G:34,יסוד הבינה | יסוד הנשמה | יסודה | יסודה וסודה | נפש,,,valid,
1,5,11,G:88,אמונה | אמת ואמונה | דרך אמת ואמונה | האמת,,,valid,
10,10,12,G:3,הירח | הלבנה | ירח | לבנה,,,valid,
10,10,12,G:1,החמה | השמש | חמה | כח החמה,,,valid,
10,8,12,G:11,פרץ,,,valid,
10,8,12,G:5,זרח,,,valid,
10,8,12,G:18,דוד | דוד המלך | דוד מלך ישראל,,,valid,
10,6,12,G:9,מלך | מלכות בית דוד | מלכות דוד,,,valid,
10,6,12,G:19,דוד מלך ישראל חי וקיים | חי וקיים | חי וקים,,,valid,
11,10,11,G:12,יעקב | יעקב אבינו,,,valid,
11,10,11,G:17,כתובות | מס' כתובות | מסכת כתובות,,,valid,
11,9,11,G:23,נפשות הצדיקים,,,valid,
11,9,11,G:43,מס' שבת | מסכת שבת,,,valid,
11,8,11,G:30,צרור החיים | צרורות בצרור החיים,,,valid,
11,7,11,G:22,נפש | נפש הצדיק | נפשו | נשמה,,,valid,
11,6,11,G:76,נפשו | נשמה,,,valid,
11,5,11,G:20,לבושה שני | לבושת השני | מלבוש השני | מלבוש שני,,,valid,
11,5,11,G:19,מלאכות | מלאכים,,,valid,
11,5,11,G:31,ר' | רבי,,,valid,
11,5,11,G:41,המדרש | המדרש הזה,,,valid,
11,5,11,G:39,מיתה | מת,,,valid,
11,5,11,G:77,המלבוש | מלבוש המלאכים | צורה,,,valid,
12,10,13,G:16,דעת | הדעת,10,14,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
13,8,11,G:1,בית דינו | בית דיני,,,valid,
13,8,11,G:4,"אחד | ה' | ויי' | י""י | יי' | שם",,,valid,
13,7,11,G:11,השם | השם הגדול | השם הנכבד | שם,,,valid,
13,7,11,G:42,ברחמים | כח הרחמים | מדת דינו ברחמים | מדת הרחמים | מדת רחמים | מידת הרחמים,,,valid,
13,7,11,G:20,אש | עמוד אש | עמוד האש,,,valid,
13,7,11,G:21,הענן | עמוד הענן | עמוד ענן,,,valid,
13,7,11,G:40,מדת דינו | מדת הדין | מידת הדין,,,valid,
13,6,11,G:12,ה' | השם המיוחד | יי' | שם הוי',,,valid,
13,6,11,G:13,התפארת | עין | תפארת | תפארת ישראל,,,valid,
13,6,11,G:23,לעתיד | לעתיד לבא | לעתיד לבוא,,,valid,
13,5,11,G:0,העטרה | עטרה | עטרת,,,valid,
13,5,11,G:5,"השפבק""ש | תפארת",,,valid,
13,5,11,G:8,בית דינו,,,valid,
13,5,11,G:17,כח הלילה | מדת לילה,,,valid,
13,5,11,G:35,זרוע תפארתו | מדת זרוע תפארת | תפארתו,,,valid,
13,5,11,G:46,הרחמים | רחמים,,,valid,
14,10,12,G:11,הברכה | נשיאות כפים | נשיאת כפים,10,13,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
14,8,12,G:13,הי' ספירות | י' ספירות | עשר ספירות | עשר ספירות בלימה,8,13,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
14,7,12,G:22,י' ספירות | עשר אצבעות | עשר ספירות,7,13,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
14,6,12,G:3,אמונה | לדבקה באמונה,6,13,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
14,6,12,G:1,עשר אצבעות | עשר אצבעות ידיו | עשר אצבעותיו | עשרה אצבעות,6,13,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
14,6,12,G:24,עמלק,6,13,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
14,6,12,G:39,ברכת כהנים,6,13,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
14,6,12,G:62,ישראל,6,13,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
15,9,10,G:21,הכסא | הכסא שלם | כסא השלם | כסאי,,,valid,
15,9,10,G:0,עמלק,,,valid,
15,8,10,G:10,"מדה""ד | מדת הדין",,,valid,
15,8,10,G:25,השם השלם | השם שלם | מלא ושלם | שם | שם המלא | שמו,,,valid,
15,6,10,G:3,דור דור | דר דר | מדור דור,,,valid,
15,6,10,G:9,כס יה | כסא | כסא יה,,,valid,
15,6,10,G:45,"הקב""ה | השם | לה' | שם ה' | שמו",,,valid,
15,6,10,G:101,הכסא | כסא | כסא מלכותו | כסאו,,,valid,
15,5,10,G:13,השם הגדול | השם המלא | השם שלם | שם המלא | שם השלם,,,valid,
15,5,10,G:27,זכר העמלקי | זרעו של עמלק,,,valid,
15,5,10,G:31,ישראל,,,valid,
16,8,9,G:0,הר | הר סיני,,,valid,
16,7,9,G:18,אלהים | דיין,,,valid,
16,7,9,G:47,ה' | השם הגדול | שם הגדול | שמו הגדול,,,valid,
16,6,9,G:44,דבר אלהים | קול | קול אלהים | קול ה' אלהינו,,,valid,
16,5,9,G:38,מדת הדין | מידת הדין,,,valid,
16,5,9,G:51,ה' קולות | חמשה קולות,,,valid,
16,5,9,G:54,הכתוב | כתוב | כתובים,,,valid,
16,5,9,G:59,התפארת | תפארת,,,valid,
16,5,9,G:100,"השם | י""י | שם המיוחד",,,valid,
16,4,9,G:11,"ה' | השם | י""י | יי",,,valid,
16,4,9,G:12,אלהים,,,valid,
16,4,9,G:16,אלהינו | דיין | פי השם,,,valid,
16,4,9,G:29,משנה תורה,,,valid,
16,4,9,G:26,קול | קול אחד | קול אחר,,,valid,
16,4,9,G:40,משה,,,valid,
16,4,9,G:43,פרשה הזאת | פרשה זו,,,valid,
16,4,9,G:34,אלהים חיים | האלהים,,,valid,
16,4,9,G:31,השם הגדול | שם הגדול | שמו הגדול,,,valid,
16,4,9,G:90,סוד | סוד הכתוב | סוד השם | סודם,,,valid,
16,4,9,G:64,דבור אחד | פנים,,,valid,
16,4,9,G:68,הכבוד | כבוד,,,valid,
16,4,9,G:92,אש | האש | האש הגדולה,,,valid,
16,4,9,G:98,פי הגבורה | קול ה' | קול השם,,,valid,
17,8,12,G:6,מצות עשה,,,valid,
17,8,12,G:21,יום השביעי | יום השבת | שבת,,,valid,
17,7,12,G:5,מצוות לא תעשה | מצות לא תעש' | מצות לא תעשה,,,valid,
17,7,12,G:41,דין | מדת הדין | מידת הדין,,,valid,
17,6,12,G:42,הרחמים | מדת הרחמים | מדת רחמים | רחמים,,,valid,
17,6,12,G:73,הקדוש הגדול | הקדושה | קדושה רבה,,,valid,
18,7,10,G:7,מדת התפארת | תפארת | תפארת ישראל,,,valid,
18,6,10,G:3,"אל עליון | הקב""ה | הקדוש ברוך הוא | השם | קל",,,valid,
18,6,10,G:6,אתה מוצא | כלומר | רומז | רמז,,,valid,
18,6,10,G:49,השם | השם הגדול | שמי המיוחד,,,valid,
18,6,10,G:19,מלאך,,,valid,
18,6,10,G:52,בקרבו | השם | שמי | שמי בקרבו | שמי השוכן בקרבו,,,valid,
18,5,10,G:10,"אל | השם | שם רבו | שמו של הקב""ה | שמי",,,valid,
18,5,10,G:55,השולח | מלאך,,,valid,
18,5,10,G:51,מדת הדין | מידת הדין,,,valid,
18,5,10,G:93,"ה' | הקב""ה | הקדוש ברוך הוא",,,valid,
19_1,8,9,G:17,הכבוד | כבוד | כבוד ה' | כבודי,,,valid,
19_1,8,9,G:9,"הכבוד | כבוד | כבוד הכלול | כבוד י""י | כבודו",,,valid,
